Frequency,"Vertical antenna, 270 Deg","Vertical antenna, 180 Deg","Vertical antenna, 90 Deg","Vertical antenna, 0 Deg","Horizontal antenna, 270 Deg","Horizontal antenna, 180 Deg","Horizontal antenna, 90 Deg","Horizontal antenna, 0 Deg",Baseline
91.04746243,-125.1485129,-129.3006278,-132.3513022,-127.7458258,-129.4217673,-132.6739035,-127.7733145,-130.0013419,-127.3824149
91.95793706,-129.0063773,-125.000228,-130.4918738,-130.4221717,-127.8977576,-130.8684226,-129.9209357,-131.7430716,-129.6893759
92.87751643,-125.2860099,-128.8912345,-126.0310813,-127.9427176,-128.7923575,-130.0287696,-130.8885184,-126.7607718,-130.1251746
93.80629159,-126.666381,-127.1269294,-129.6168586,-127.2219382,-125.8098593,-129.2478019,-127.0939017,-130.2489157,-133.1223746
94.74435451,-128.0711661,-127.1388236,-131.7948447,-129.0185538,-127.6784583,-127.8576728,-127.6827384,-127.6131888,-131.3627616
95.69179805,-129.6941062,-128.8947287,-129.9186698,-130.3074179,-125.0511237,-131.5582267,-128.4845877,-131.7149192,-128.2874442
96.64871604,-128.8889685,-129.7114859,-128.4796973,-125.7001181,-128.3601828,-132.9791861,-131.0611716,-127.4731436,-126.2987052
97.6152032,-128.7081137,-128.7915946,-130.2578574,-126.9348746,-126.5483084,-131.1921988,-128.4066611,-132.0434409,-128.2434684
98.59135523,-124.931304,-129.4851523,-129.5673667,-124.5286246,-123.7767096,-128.7490073,-127.6197882,-132.5972892,-128.1693869
99.57726878,-128.2129203,-126.9987326,-128.7762595,-132.525054,-127.2989646,-130.0339652,-128.4024192,-132.8444358,-131.7617179
100.5730415,-125.4677268,-124.5677558,-130.4456855,-128.5981513,-127.8236838,-131.4437247,-130.2825919,-133.5441428,-127.7396079
101.5787719,-122.9807349,-127.893508,-128.007598,-126.4450827,-127.6602011,-127.4455329,-129.4316626,-131.5176841,-130.3436576
102.5945596,-126.362197,-127.5541373,-127.3627539,-126.8803168,-124.5373374,-128.8144294,-128.3482657,-130.5428839,-127.3072425
103.6205052,-129.9858084,-130.3861685,-127.4944297,-128.6675788,-126.8918296,-125.7571555,-128.9903784,-128.0949012,-128.9646598
104.6567102,-126.0688544,-127.7803794,-131.0328971,-127.4121619,-124.4409552,-129.8313742,-126.4616919,-130.3559104,-126.2882224
105.7032774,-126.8291846,-127.2747412,-125.982421,-128.5331336,-127.8607932,-131.4136191,-125.3848792,-128.4692755,-131.1403189
106.7603101,-124.5169516,-125.479766,-132.2827597,-128.0106955,-124.866294,-129.494216,-127.0518485,-129.2287513,-131.9418174
107.8279132,-126.768859,-129.4212409,-127.0656195,-130.0526419,-130.1830664,-128.5900183,-129.7806159,-130.0308371,-127.1623526
108.9061924,-126.8593665,-125.4591132,-129.4550696,-132.4010001,-128.9421836,-129.0676642,-125.0905219,-130.111846,-130.056922
109.9952543,-124.6093894,-127.2964316,-130.8113471,-128.0860282,-129.6645117,-129.4383612,-129.2033149,-125.5776587,-129.3285437
